#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00095  0.93969  0.002577  0.001711  0.003046     1.506
   0.00584  0.99422  0.00178  0.94503  0.002505  0.001668  0.003120     1.502
   0.01675  0.98342  0.00333  0.95765  0.002344  0.001573  0.003318     1.490
   0.02985  0.97045  0.00516  0.96902  0.002207  0.001486  0.003474     1.485
   0.04416  0.95627  0.00714  0.97930  0.002091  0.001406  0.003588     1.487
   0.05897  0.94161  0.00914  0.98780  0.002002  0.001337  0.003635     1.497
   0.07393  0.92677  0.01114  0.99532  0.001934  0.001275  0.003618     1.517
   0.08895  0.91188  0.01311  1.00145  0.001894  0.001221  0.003502     1.551
   0.10399  0.89697  0.01505  1.00695  0.001882  0.001172  0.003273     1.605
   0.11904  0.88204  0.01696  1.01200  0.001910  0.001129  0.002893     1.692
   0.13409  0.86711  0.01883  1.01739  0.001994  0.001087  0.002334     1.834
   0.14914  0.85218  0.02068  1.02482  0.002156  0.001043  0.001621     2.068
   0.16419  0.83723  0.02249  1.03693  0.002403  0.000983  0.000892     2.444
   0.17925  0.82228  0.02427  1.05392  0.002694  0.000907  0.000376     2.970
   0.19430  0.80733  0.02603  1.06734  0.002917  0.000848  0.000131     3.441
   0.20935  0.79238  0.02775  1.06893  0.003000  0.000840  0.000080     3.572
   0.22441  0.77742  0.02944  1.07096  0.003018  0.000831  0.000059     3.634
   0.23946  0.76245  0.03110  1.07320  0.003000  0.000821  0.000052     3.656
   0.25452  0.74749  0.03272  1.07556  0.002956  0.000810  0.000055     3.649
   0.26957  0.73252  0.03432  1.07803  0.002900  0.000799  0.000063     3.629
   0.28462  0.71755  0.03589  1.08061  0.002831  0.000788  0.000078     3.592
   0.29967  0.70258  0.03742  1.08328  0.002758  0.000777  0.000096     3.551
   0.31472  0.68760  0.03892  1.08605  0.002682  0.000765  0.000118     3.505
   0.32977  0.67263  0.04039  1.08891  0.002604  0.000753  0.000143     3.456
   0.34481  0.65766  0.04182  1.09185  0.002527  0.000742  0.000170     3.408
   0.35985  0.64268  0.04322  1.09487  0.002452  0.000729  0.000199     3.362
   0.37489  0.62771  0.04459  1.09797  0.002379  0.000717  0.000230     3.317
   0.38992  0.61274  0.04592  1.10113  0.002307  0.000705  0.000263     3.274
   0.40494  0.59776  0.04722  1.10433  0.002239  0.000692  0.000296     3.234
   0.41997  0.58280  0.04847  1.10761  0.002172  0.000680  0.000331     3.194
   0.43498  0.56783  0.04969  1.11090  0.002109  0.000667  0.000366     3.160
   0.44999  0.55286  0.05087  1.11424  0.002048  0.000655  0.000402     3.127
   0.46500  0.53790  0.05201  1.11762  0.001989  0.000642  0.000439     3.096
   0.47999  0.52295  0.05311  1.12103  0.001931  0.000630  0.000478     3.066
   0.49498  0.50799  0.05416  1.12446  0.001876  0.000617  0.000516     3.039
   0.50996  0.49305  0.05517  1.12790  0.001822  0.000605  0.000555     3.014
   0.52494  0.47811  0.05613  1.13140  0.001769  0.000592  0.000597     2.989
   0.53990  0.46317  0.05704  1.13489  0.001719  0.000579  0.000638     2.967
   0.55485  0.44824  0.05790  1.13843  0.001668  0.000567  0.000683     2.944
   0.56979  0.43332  0.05871  1.14195  0.001621  0.000554  0.000725     2.925
   0.58472  0.41841  0.05947  1.14553  0.001573  0.000541  0.000772     2.905
   0.59964  0.40351  0.06017  1.14913  0.001526  0.000529  0.000821     2.886
   0.61454  0.38862  0.06080  1.15274  0.001480  0.000516  0.000871     2.868
   0.62943  0.37374  0.06138  1.15638  0.001434  0.000503  0.000924     2.850
   0.64431  0.35888  0.06189  1.16000  0.001390  0.000490  0.000976     2.835
   0.65916  0.34403  0.06233  1.16367  0.001346  0.000477  0.001033     2.819
   0.67400  0.32920  0.06271  1.16738  0.001302  0.000464  0.001093     2.804
   0.68882  0.31438  0.06300  1.17107  0.001259  0.000451  0.001156     2.790
   0.70361  0.29959  0.06322  1.17477  0.001217  0.000438  0.001220     2.777
   0.71839  0.28482  0.06335  1.17853  0.001174  0.000425  0.001292     2.763
   0.73313  0.27007  0.06340  1.18229  0.001132  0.000412  0.001366     2.750
   0.74785  0.25535  0.06335  1.18606  0.001091  0.000398  0.001445     2.738
   0.76253  0.24067  0.06321  1.18986  0.001049  0.000385  0.001529     2.727
   0.77718  0.22603  0.06296  1.19370  0.001007  0.000371  0.001621     2.716
   0.79179  0.21142  0.06260  1.19753  0.000965  0.000357  0.001718     2.706
   0.80635  0.19687  0.06212  1.20141  0.000923  0.000342  0.001824     2.696
   0.82085  0.18238  0.06151  1.20532  0.000881  0.000328  0.001940     2.686
   0.83530  0.16795  0.06077  1.20935  0.000837  0.000313  0.002076     2.675
   0.84966  0.15361  0.05989  1.21327  0.000795  0.000298  0.002212     2.668
   0.86394  0.13938  0.05884  1.21736  0.000751  0.000282  0.002375     2.659
   0.87810  0.12527  0.05763  1.22154  0.000705  0.000266  0.002562     2.651
   0.89211  0.11133  0.05623  1.22574  0.000660  0.000250  0.002772     2.644
   0.90593  0.09760  0.05462  1.23011  0.000612  0.000232  0.003027     2.635
   0.91947  0.08418  0.05280  1.23455  0.000563  0.000214  0.003336     2.627
   0.93259  0.07122  0.05076  1.23901  0.000513  0.000196  0.003709     2.619
   0.94505  0.05897  0.04851  1.24344  0.000461  0.000177  0.004192     2.608
   0.95652  0.04776  0.04610  1.24738  0.000410  0.000158  0.004807     2.595
   0.96659  0.03799  0.04364  1.25028  0.000360  0.000140  0.005585     2.579
   0.97505  0.02987  0.04124  1.25142  0.000315  0.000123  0.006499     2.564
   0.98196  0.02334  0.03899  1.25041  0.000273  0.000107  0.007727     2.537
   0.98756  0.01815  0.03691  1.24539  0.000237  0.000094  0.009047     2.516
   0.99215  0.01399  0.03497  1.23651  0.000206  0.000083  0.010615     2.493
   0.99597  0.01063  0.03315  1.22176  0.000177  0.000072  0.012709     2.455
   0.99922  0.00789  0.03141  1.19714  0.000152  0.000063  0.014857     2.427
   1.00203  0.00564  0.02971  1.16085  0.000131  0.000054  0.017356     2.396
   1.00450  0.00382  0.02804  1.10640  0.000111  0.000047  0.020191     2.358
   1.00672  0.00237  0.02636  1.02430  0.000095  0.000041  0.022719     2.321
   1.00873  0.00127  0.02468  0.90697  0.000082  0.000036  0.023865     2.295
   1.01058  0.00051  0.02300  0.74445  0.000072  0.000032  0.023266     2.250
   1.01229  0.00010  0.02133  0.54337  0.000067  0.000030  0.018157     2.249
   1.01392  0.00000  0.01971  0.32135  0.000064  0.000029  0.011516     2.221
   1.01558  0.00021  0.01806  0.08968  0.000069  0.000031  0.002974     2.230
   1.01737  0.00076  0.01636 -0.13638  0.000069  0.000031  0.004522     2.230
   1.01929  0.00166  0.01465 -0.33275  0.000081  0.000036  0.009135     2.263
   1.02140  0.00291  0.01296 -0.49113  0.000090  0.000040  0.012169     2.251
   1.02374  0.00452  0.01127 -0.61461  0.000106  0.000046  0.012367     2.302
   1.02636  0.00653  0.00958 -0.70913  0.000122  0.000053  0.012420     2.303
   1.02937  0.00900  0.00785 -0.78526  0.000141  0.000060  0.011616     2.329
   1.03288  0.01201  0.00606 -0.84493  0.000163  0.000069  0.010591     2.352
   1.03704  0.01572  0.00417 -0.89293  0.000187  0.000079  0.009527     2.372
   1.04208  0.02034  0.00216 -0.93264  0.000215  0.000090  0.008512     2.389
   1.04827  0.02614 -0.00003 -0.96560  0.000248  0.000103  0.007512     2.408
   1.05592  0.03341 -0.00238 -0.99233  0.000286  0.000118  0.006560     2.429
   1.06519  0.04234 -0.00485 -1.01396  0.000327  0.000134  0.005761     2.444
   1.07601  0.05288 -0.00736 -1.03057  0.000373  0.000152  0.005046     2.461
   1.08806  0.06468 -0.00977 -1.04297  0.000420  0.000170  0.004472     2.475
   1.10095  0.07737 -0.01201 -1.05193  0.000467  0.000188  0.003998     2.489
   1.11437  0.09064 -0.01404 -1.05850  0.000512  0.000205  0.003626     2.499
   1.12813  0.10428 -0.01587 -1.06315  0.000557  0.000222  0.003309     2.510
   1.14214  0.11819 -0.01750 -1.06630  0.000601  0.000239  0.003037     2.521
   1.15631  0.13228 -0.01896 -1.06855  0.000643  0.000254  0.002820     2.530
   1.17061  0.14653 -0.02025 -1.06993  0.000685  0.000270  0.002623     2.539
   1.18502  0.16089 -0.02139 -1.07069  0.000726  0.000285  0.002452     2.549
   1.19951  0.17535 -0.02240 -1.07097  0.000766  0.000300  0.002302     2.557
   1.21408  0.18988 -0.02329 -1.07084  0.000806  0.000314  0.002168     2.566
   1.22870  0.20448 -0.02406 -1.07035  0.000845  0.000328  0.002045     2.575
   1.24337  0.21914 -0.02472 -1.06954  0.000884  0.000342  0.001932     2.585
   1.25808  0.23385 -0.02529 -1.06860  0.000922  0.000355  0.001835     2.593
   1.27284  0.24859 -0.02577 -1.06734  0.000961  0.000369  0.001737     2.603
   1.28763  0.26338 -0.02616 -1.06602  0.000998  0.000382  0.001655     2.611
   1.30245  0.27819 -0.02648 -1.06453  0.001036  0.000395  0.001575     2.621
   1.31730  0.29304 -0.02672 -1.06295  0.001073  0.000408  0.001503     2.629
   1.33217  0.30791 -0.02690 -1.06115  0.001112  0.000421  0.001429     2.641
   1.34707  0.32281 -0.02701 -1.05947  0.001147  0.000433  0.001373     2.647
   1.36199  0.33773 -0.02706 -1.05751  0.001186  0.000446  0.001305     2.659
   1.37692  0.35266 -0.02706 -1.05561  0.001223  0.000458  0.001252     2.667
   1.39188  0.36762 -0.02701 -1.05365  0.001260  0.000471  0.001199     2.677
   1.40685  0.38259 -0.02690 -1.05164  0.001297  0.000483  0.001149     2.686
   1.42183  0.39757 -0.02675 -1.04954  0.001335  0.000495  0.001099     2.697
   1.43683  0.41257 -0.02656 -1.04747  0.001372  0.000507  0.001055     2.706
   1.45185  0.42759 -0.02632 -1.04541  0.001409  0.000519  0.001015     2.715
   1.46687  0.44261 -0.02605 -1.04325  0.001447  0.000531  0.000973     2.726
   1.48191  0.45764 -0.02574 -1.04113  0.001485  0.000543  0.000935     2.736
   1.49696  0.47269 -0.02540 -1.03897  0.001523  0.000554  0.000897     2.746
   1.51202  0.48774 -0.02503 -1.03682  0.001560  0.000566  0.000863     2.756
   1.52708  0.50280 -0.02463 -1.03466  0.001598  0.000578  0.000829     2.767
   1.54216  0.51787 -0.02420 -1.03245  0.001638  0.000589  0.000795     2.779
   1.55724  0.53295 -0.02374 -1.03031  0.001675  0.000601  0.000766     2.788
   1.57233  0.54803 -0.02326 -1.02810  0.001715  0.000612  0.000734     2.801
   1.58743  0.56312 -0.02275 -1.02592  0.001754  0.000624  0.000706     2.812
   1.60253  0.57821 -0.02222 -1.02370  0.001795  0.000635  0.000676     2.825
   1.61764  0.59331 -0.02167 -1.02148  0.001836  0.000647  0.000648     2.838
   1.63276  0.60842 -0.02111 -1.01925  0.001878  0.000658  0.000620     2.853
   1.64788  0.62352 -0.02052 -1.01700  0.001921  0.000670  0.000592     2.868
   1.66300  0.63864 -0.01991 -1.01475  0.001965  0.000682  0.000565     2.883
   1.67813  0.65375 -0.01929 -1.01239  0.002013  0.000693  0.000534     2.904
   1.69326  0.66887 -0.01865 -1.01008  0.002061  0.000705  0.000506     2.922
   1.70839  0.68399 -0.01799 -1.00767  0.002113  0.000717  0.000475     2.947
   1.72353  0.69911 -0.01732 -1.00526  0.002167  0.000729  0.000445     2.972
   1.73867  0.71423 -0.01663 -1.00275  0.002227  0.000742  0.000411     3.003
   1.75381  0.72936 -0.01593 -1.00019  0.002291  0.000754  0.000376     3.038
   1.76895  0.74448 -0.01522 -0.99757  0.002362  0.000767  0.000339     3.080
   1.78409  0.75960 -0.01449 -0.99489  0.002440  0.000780  0.000300     3.129
   1.79923  0.77473 -0.01374 -0.99212  0.002532  0.000793  0.000256     3.191
   1.81438  0.78985 -0.01299 -0.98933  0.002634  0.000807  0.000211     3.264
   1.82952  0.80498 -0.01222 -0.98650  0.002755  0.000821  0.000162     3.356
   1.84466  0.82010 -0.01143 -0.98373  0.002893  0.000834  0.000113     3.467
   1.85981  0.83522 -0.01064 -0.98105  0.003057  0.000848  0.000062     3.605
   1.87495  0.85034 -0.00983 -0.97855  0.003246  0.000861  0.000014     3.772
   1.89009  0.86546 -0.00900 -0.97628  0.003464  0.000872 -0.000028     3.971
   1.90522  0.88057 -0.00816 -0.97423  0.003716  0.000883 -0.000063     4.208
   1.92036  0.89568 -0.00731 -0.97235  0.003995  0.000893 -0.000086     4.472
   1.93548  0.91078 -0.00644 -0.97069  0.004305  0.000903 -0.000100     4.768
   1.95059  0.92586 -0.00555 -0.96927  0.004643  0.000911 -0.000105     5.095
   1.96565  0.94089 -0.00465 -0.96808  0.005001  0.000919 -0.000105     5.444
   1.98053  0.95575 -0.00375 -0.96708  0.005362  0.000925 -0.000103     5.797
   1.99493  0.97012 -0.00285 -0.96624  0.005709  0.000931 -0.000100     6.135
   2.00809  0.98325 -0.00202 -0.96554  0.005989  0.000936 -0.000098     6.402
   2.01903  0.99417 -0.00132 -0.95866  0.006149  0.000992 -0.000093     6.197
   2.02487  1.00000 -0.00095 -0.93969  0.006213  0.001159 -0.000081     5.362
   2.02487  1.00010 -0.00000  0.93969  0.010668  0.002870  0.000000     3.717
   2.03071  1.00593 -0.00023  0.92981  0.009813  0.003041  0.000000     3.227
