  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2009                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.700 e 6     Ncrit =  12.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0214   0.00478   0.00174  -0.0194   0.9589   0.8478
  -1.000   0.0790   0.00459   0.00169  -0.0144   0.9028   0.9572
  -0.000   0.2252   0.00492   0.00172  -0.0205   0.8100   0.9922
   1.000   0.3517   0.00548   0.00168  -0.0237   0.6499   1.0000
   2.000   0.4503   0.00641   0.00190  -0.0215   0.4550   1.0000
   3.000   0.5444   0.00800   0.00253  -0.0188   0.2194   1.0000
   3.999   0.6362   0.01018   0.00392  -0.0156   0.0579   1.0000
   4.999   0.7329   0.01209   0.00590  -0.0130   0.0350   1.0000
   6.999   0.9161   0.01892   0.01322  -0.0070   0.0215   1.0000
   7.999   1.0031   0.02344   0.01809  -0.0042   0.0185   1.0000
