# Upper_Surface_x 	Upper_Surface_y 	Lower_Surface_x 	Lower_Surface_y 	Camber_Line_x 	Camber_Line_y
         0        	       2        	       0        	2               	     0        	     2
         0.025175 	       2.210549 	       0.025171 	1.789451        	     0.025173 	     2
         0.100683 	       2.418175 	       0.100649 	1.581821        	     0.100666 	     1.999998
         0.22646  	       2.62279  	       0.226347 	1.37719         	     0.226404 	     1.99999
         0.402392 	       2.82428  	       0.402127 	1.175656        	     0.402259 	     1.999968
         0.628312 	       3.022508 	       0.627799 	0.977334        	     0.628056 	     1.999921
         0.904005 	       3.217318 	       0.903125 	0.782355        	     0.903565 	     1.999837
         1.229203 	       3.408531 	       1.227818 	0.590865        	     1.228511 	     1.999698
         1.603588 	       3.595948 	       1.601542 	0.403025        	     1.602565 	     1.999486
         2.026794 	       3.779354 	       2.023909 	0.219005        	     2.025351 	     1.99918
         2.498401 	       3.958518 	       2.494487 	0.038989        	     2.496444 	     1.998754
         3.017944 	       4.133196 	       3.012794 	-0.136833       	     3.015369 	     1.998182
         3.584907 	       4.30313  	       3.5783   	-0.308261       	     3.581603 	     1.997434
         4.198724 	       4.468056 	       4.19043  	-0.475094       	     4.194577 	     1.996481
         4.858784 	       4.627702 	       4.848562 	-0.637126       	     4.853673 	     1.995288
         5.564426 	       4.781792 	       5.552029 	-0.79415        	     5.558228 	     1.993821
         6.314944 	       4.930048 	       6.300119 	-0.945962       	     6.307531 	     1.992043
         7.109584 	       5.072194 	       7.092075 	-1.092363       	     7.100829 	     1.989916
         7.947548 	       5.207957 	       7.927098 	-1.233158       	     7.937323 	     1.9874
         8.827994 	       5.337071 	       8.804348 	-1.368161       	     8.816171 	     1.984455
         9.750033 	       5.459276 	       9.722941 	-1.497196       	     9.736487 	     1.98104
        10.712738 	       5.574327 	      10.681953 	-1.6201         	    10.697345 	     1.977113
        11.715134 	       5.681988 	      11.680421 	-1.736724       	    11.697778 	     1.972632
        12.756211 	       5.782043 	      12.717344 	-1.846933       	    12.736778 	     1.967555
        13.834916 	       5.874288 	      13.791681 	-1.950611       	    13.813298 	     1.961839
        14.950156 	       5.958542 	      14.902355 	-2.04766        	    14.926256 	     1.955441
        16.100804 	       6.034644 	      16.048255 	-2.138          	    16.074529 	     1.948322
        17.285693 	       6.102453 	      17.228234 	-2.221574       	    17.256963 	     1.940439
        18.503623 	       6.161852 	      18.441111 	-2.298343       	    18.472367 	     1.931754
        19.753358 	       6.21275  	      19.685673 	-2.368293       	    19.719516 	     1.922228
        21.033633 	       6.255077 	      20.960676 	-2.431429       	    20.997155 	     1.911824
        22.343147 	       6.288792 	      22.264846 	-2.487779       	    22.303997 	     1.900506
        23.680573 	       6.313877 	      23.59688  	-2.537392       	    23.638727 	     1.888242
        25.044553 	       6.33034  	      24.955447 	-2.58034        	    25        	     1.875
        26.433704 	       6.338214 	      26.339189 	-2.616712       	    26.386446 	     1.860751
        27.846615 	       6.337559 	      27.746723 	-2.646621       	    27.796669 	     1.845469
        29.281854 	       6.328455 	      29.176645 	-2.670195       	    29.229249 	     1.82913
        30.737964 	       6.311011 	      30.627523 	-2.687583       	    30.682744 	     1.811714
        32.213468 	       6.285353 	      32.09791  	-2.698949       	    32.155689 	     1.793202
        33.70687  	       6.251634 	      33.586333 	-2.704471       	    33.646602 	     1.773581
        35.216656 	       6.210022 	      35.091306 	-2.704343       	    35.153981 	     1.75284
        36.741296 	       6.16071  	      36.611323 	-2.69877        	    36.676309 	     1.73097
        38.279244 	       6.103903 	      38.144862 	-2.687968       	    38.212053 	     1.707968
        39.828944 	       6.039827 	      39.690389 	-2.67216        	    39.759667 	     1.683834
        41.388825 	       5.968721 	      41.246357 	-2.651578       	    41.317591 	     1.658571
